incident_name,incident_date_created,incident_county,incident_type,incident_dateonly_created
Sullivan Fire,2015-07-28T12:10:00Z,Stanislaus,,7/28/2015
Buck Fire,2015-07-28T17:19:00Z,Humboldt,,7/28/2015
Swedes Fire,2015-07-29T11:25:00Z,Butte,,7/29/2015
Rocky Fire,2015-07-29T15:29:00Z,Lake,,7/29/2015
Mallard Fire,2015-07-29T16:30:00Z,Shasta,,7/29/2015
China Fire,2015-07-29T17:55:00Z,Shasta,,7/29/2015
Big Creek Fire,2015-07-29T16:30:00Z,Tuolumne,,7/29/2015
Vasco Fire,2015-07-30T11:18:00Z,Contra Costa,,7/30/2015
Sprig Fire,2015-07-30T12:57:00Z,Shasta,,7/30/2015
Advance Fire,2015-07-30T12:40:00Z,Tulare,,7/30/2015
Mendocino Lightning Fires,2015-07-30T13:36:00Z,Mendocino,,7/30/2015
Frog Fire,2015-07-30T17:45:00Z,Modoc,,7/30/2015
Rough Fire ,2015-07-31T19:00:00Z,Fresno,,7/31/2015
White Fire,2015-08-01T14:32:00Z,Santa Barbara,,8/1/2015
Fern Fire,2015-08-02T03:00:00Z,Shasta,,8/2/2015
Francis Fire,2015-08-03T18:07:00Z,Yuba,,8/3/2015
Point Fire,2015-08-03T14:28:00Z,Shasta,,8/3/2015
Dodge Fire,2015-08-03T14:15:00Z,Lassen,,8/3/2015
36 Fire,2015-08-08T14:55:00Z,Tehama,,8/8/2015
De Luz Fire,2015-08-09T08:22:00Z,San Diego,,8/9/2015
Jerusalem Fire,2015-08-09T15:34:00Z,"Lake, Napa",,8/9/2015
Anza Fire,2015-08-10T11:44:00Z,Riverside,,8/10/2015
Mark Fire,2015-08-13T16:15:00Z,Calaveras,,8/13/2015
Tulloch Fire,2015-08-15T16:11:00Z,Tuolumne,,8/15/2015
Cuesta Fire,2015-08-16T18:13:00Z,San Luis Obispo,,8/16/2015
Horse Fire,2015-08-18T18:30:00Z,Humboldt,,8/18/2015
Tesla Fire,2015-08-19T14:45:00Z,Alameda,,8/19/2015
Peterson Fire,2015-08-22T17:30:00Z,Lake,,8/22/2015
Summit Fire,2015-08-23T12:25:00Z,San Bernardino,,8/23/2015
Grade Fire,2015-08-24T12:12:00Z,Lake,,8/24/2015
Democrat Fire,2015-08-25T14:08:00Z,Trinity,,8/25/2015
Kramer Fire ,2015-08-29T16:06:00Z,Lassen,,8/29/2015
Elk Fire,2015-09-02T14:57:00Z,Lake,,9/2/2015
Olive Fire,2015-09-02T13:18:00Z,Butte,,9/2/2015
Oak Fire,2015-09-08T13:23:00Z,Tuolumne,,9/8/2015
Browns Fire,2015-09-08T15:56:00Z,Trinity,,9/8/2015
Center Fire,2015-09-09T14:12:00Z,Lassen,,9/9/2015
Creek Fire,2015-09-09T14:30:00Z,Fresno,,9/9/2015
Butte Fire,2015-09-09T14:26:00Z,,,9/9/2015
Lumpkin Fire,2015-09-11T14:15:00Z,Butte,,9/11/2015
Walker Fire,2015-09-11T15:08:00Z,Shasta,,9/11/2015
Tassajara Fire,2015-09-19T15:00:00Z,Monterey,,9/19/2015
Laureles Fire,2015-09-19T15:25:00Z,Monterey,,9/19/2015
McCourtney Fire,2015-09-22T07:00:00Z,Nevada,,9/22/2015
Munjar Fire,2015-10-02T14:38:00Z,Butte,,10/2/2015
Cienega Fire,2015-10-12T16:00:00Z,San Benito,,10/12/2015
Gibraltar Fire,2015-10-29T05:30:00Z,Santa Barbara,,10/29/2015
Potrero Fire,2015-11-07T01:45:00Z,Ventura,,11/7/2015
Solimar Fire,2015-12-25T22:42:00Z,,,12/25/2015
Gorman Fire,2016-04-19T13:09:00Z,Los Angeles,,4/19/2016
Taglio Fire,2016-04-24T11:10:00Z,Merced,,4/24/2016
Shedd Fire,2016-05-10T16:11:00Z,San Luis Obispo,,5/10/2016
Bryson Fire,2016-05-12T14:13:00Z,Monterey,,5/12/2016
Avocado Fire,2016-05-15T16:38:00Z,Fresno,,5/15/2016
Athens Fire,2016-05-17T15:06:00Z,Placer,,5/17/2016
Metz Fire,2016-05-22T15:27:00Z,Monterey,,5/22/2016
Wheatland Fire,2016-05-23T14:15:00Z,Los Angeles,,5/23/2016
DeWolf Fire,2016-05-25T01:03:00Z,Fresno,,5/25/2016
Dunstone Fire,2016-05-27T13:43:00Z,Butte,,5/27/2016
70 Fire,2016-05-29T16:51:00Z,Butte,,5/29/2016
Tulloch Fire,2016-05-30T15:10:00Z,Tuolumne,,5/30/2016
Pala Fire,2016-05-31T13:48:00Z,San Diego,,5/31/2016
Chimney Fire,2016-06-01T15:35:00Z,Tulare,,6/1/2016
Aukum Fire,2016-06-03T12:41:00Z,El Dorado,,6/3/2016
Hidden Fire,2016-06-03T17:39:00Z,San Benito,,6/3/2016
Clay Fire,2016-06-03T16:57:00Z,Sacramento,,6/3/2016
Temecula Fire,2016-06-04T11:40:00Z,Riverside,,6/4/2016
Coleman Fire,2016-06-04T14:33:00Z,Monterey,,6/4/2016
Soda Fire,2016-06-04T17:46:00Z,San Luis Obispo,,6/4/2016
Coe Fire,2016-06-07T16:30:00Z,Stanislaus,,6/7/2016
Pony Fire,2016-06-07T02:45:00Z,Siskiyou,,6/7/2016
Keswick Fire,2016-06-11T16:02:00Z,Shasta,,6/11/2016
Hoag Fire,2016-06-11T14:30:00Z,Tehama,,6/11/2016
Cotton Fire,2016-06-11T15:04:00Z,Kern,,6/11/2016
Old Fire,2016-06-12T12:45:00Z,San Benito,,6/12/2016
Sherpa Fire,2016-06-15T15:21:00Z,Santa Barbara,,6/15/2016
Camanche Fire,2016-06-17T14:54:00Z,Amador,,6/17/2016
Arroyo Fire,2016-06-18T16:47:00Z,Monterey,,6/18/2016
Border Fire,2016-06-19T11:03:00Z,San Diego,,6/19/2016
Coal Fire,2016-06-20T16:38:00Z,Butte,,6/20/2016
Paskenta Fire,2016-06-21T10:26:00Z,Tehama,,6/21/2016
Moore Fire,2016-06-21T12:24:00Z,Placer,,6/21/2016
70 Fire,2016-06-21T15:09:00Z,Butte,,6/21/2016
Erskine Fire,2016-06-23T15:51:00Z,Kern,,6/23/2016
Lowe Fire,2016-06-23T17:57:00Z,Monterey,,6/23/2016
Dinosaur Fire,2016-06-25T23:45:00Z,Merced,,6/25/2016
Grant Fire,2016-06-25T16:11:00Z,Alameda,,6/25/2016
Marina Fire,2016-06-25T06:30:00Z,Mono,,6/25/2016
Creek Fire,2016-06-26T15:45:00Z,Yolo,,6/26/2016
Laguna Fire,2016-06-26T13:10:00Z,Orange,,6/26/2016
Reservoir Fire,2016-06-26T16:00:00Z,Lake,,6/26/2016
Frazier Fire,2016-06-27T12:07:00Z,San Luis Obispo,,6/27/2016
Campo Fire,2016-06-27T18:00:00Z,Calaveras,,6/27/2016
Trailhead Fire,2016-06-28T13:55:00Z,"El Dorado, Placer",,6/28/2016
Rancho Fire,2016-06-28T19:02:00Z,Amador,,6/28/2016
Colyear Fire,2016-06-30T13:32:00Z,Tehama,,6/30/2016
Pine Fire,2016-06-30T16:55:00Z,Ventura,,6/30/2016
Deer Fire,2016-07-01T14:05:00Z,Kern,,7/1/2016
Flores Fire,2016-07-01T13:54:00Z,Tehama,,7/1/2016
Curry Fire,2016-07-01T17:16:00Z,Fresno,,7/1/2016
Lone Pine Fire,2016-07-01T12:56:00Z,Inyo,,7/1/2016
Kuehner Fire,2016-07-01T14:00:00Z,Ventura,,7/1/2016
Appaloosa Fire,2016-07-02T14:55:00Z,Calaveras,,7/2/2016
Frame Fire,2016-07-04T17:15:00Z,Fresno,,7/4/2016
Broken Fire,2016-07-04T11:53:00Z,Madera,,7/4/2016
Fort Fire,2016-07-08T11:15:00Z,Kern,,7/8/2016
Fiddler Fire,2016-07-08T22:45:00Z,Shasta,,7/8/2016
Sage Fire,2016-07-09T12:04:00Z,Los Angeles,,7/9/2016
Mercury Fire,2016-07-09T12:43:00Z,San Benito,,7/9/2016
Scott Fire,2016-07-10T15:30:00Z,Sacramento,,7/10/2016
